,3
!!,1
#,2
$,1
%,7
&hl,1
( 1993),1
(1)(2),1
(1)(3),1
(1000)nokia,1
(brazil)mantilla,1
(e),1
(g),1
(i),1
(kf),1
(l)kodik,1
(német)crusaders,1
(r+s,1
(szlovák)ludogorec,1
):,1
***,1
021%,1
09csütörtök,1
0cm,1
0ás,1
1%a,1
10%a,1
101esről,1
10fable,1
10v,1
110,1
1102 vi 4,1
11652005ek,1
11uán,1
125von,1
13án,1
14931999ek,1
14fe3,1
1539bol,1
16142001ek,1
168óra,1
16990ft,1
16giga,1
16án,1
1733tól,1
17742002ek,1
1776 július 4én,1
17hg3,1
17én,1
1913 i,1
1919 október 7én,1
1924 szeptember 26án,1
1933 i,1
1945 december 4én,1
1951 január 27én,1
1959 augusztus 17én,1
196aval,1
1976os,1
1977 vii 22,1
1986 május 2án,1
198990hez,1
1993 március 31én,1
1993b,1
1998 december 22én,1
1998május,1
19vf5,1
19én,1
1exe,1
1jános,1
1mega,1
1évad,1
2%,1
2000 január 1jéig,1
200405ös,1
20042005s,1
2006 január 1jétől,1
2008 április 17én,1
2008as,1
2008d),1
2009 május 31én,1
2010 december 30án,1
205d,1
210094ek,1
21bxh5,1
21én,1
235871egk,1
23vh3,1
24a,1
24bad1,1
24én,1
25%,1
25292001ek,1
259260p,1
26vd4,1
26vf4,1
270x,1
28bc2,1
28hxc4,1
2hf3,1
2millió,1
2t,1
3%,1
300td,1
300usd,1
306osa,1
30an,1
30px,2
310p,1
34hf5,1
35bg1,1
36vc3,1
37kc1,1
3a,1
3dsre,1
3kipkosgei,1
3mal,1
40%,1
4066,1
41hxe7,1
42vxh1,1
442453p,1
44a22,1
495p,1
4ed,1
4fe3,1
4glte,1
4s,1
50%ánál,1
500ie,1
50k,1
50mm,1
54kh5,1
57kd1,1
60a,1
60nek,1
650ért,1
66os,1
67(4),1
6h1c3,1
70d,1
76ers,1
78%,1
7879,1
7szám,1
80%a,1
80211n,1
85ös,1
8877egk,1
9,1
90219ek,1
902x,1
90c,1
91115egk,1
9495ben,1
:,1
:(,1
:),3
:))))))))))))))))))),1
:d,1
:o,1
:o),1
;),1
?????,1
@,1
\services,1
^,1
__dummy__,1
__removed_paragraph__,3
_emmamills,1
_idezetek,1
a,9
a),1
aac,1
aban,1
ablakai,2
ablakba,1
ablakokkal,1
ablakon,3
ablaktól,1
ablakuk,1
ablakán,1
abnormitás,1
abolition,1
abortuszon,1
abrakán,1
abroncs,1
ac,1
acél,1
ad_330x250,1
adag,1
adakozók,1
adalékanyagot,1
adamst,2
adaptációkra,1
adat,6
adatai,2
adatainak,1
adataira,1
adatait,1
adatbankba,1
adatbázisba,1
adatbázisok,1
adatcseréhez,1
adatelemek,1
adatelírások,1
adathordozón,1
adatigénylés,1
adatkereskedő,1
adatkommunikáció,1
adatkérései,1
adatközlők,1
adatlapját,1
adatlopás,1
adatmodellen,1
adatok,7
adatokat,9
adatokból,1
adatról,1
adatszerkezet,1
adattárolókon,1
adatunk,1
adatvédelem,1
adatvédelemről,1
adidast,1
adminisztrációval,1
adminok,1
adogatásai,1
adokkapok,1
adomány,1
adományozás,1
adományozásáról,1
adományt,1
adottsággal,1
adottságok,1
adu,1
adás,2
adások,1
adást,1
adó,4
adóalanyok,1
adóamnesztia,1
adóbevétel,1
adóbevételt,1
adócsökkentésbe,1
adócsökkentésről,1
adóelkerülés,1
adófajtáknak,1
adófizetőknek,2
adóhatóság,1
adóhatóságnál,1
adóhatóságot,1
adóhivatal,2
adójogszabályokat,1
adómentességet,1
adónyomozók,1
adóra,1
adórendőrség,1
adósságcsökkentésbe,1
adósságok,1
adósságszerkezeten,1
adósságválság,1
adósságából,1
adószedővel,1
adót,3
adóteher,1
adóterhelés,1
adótornyát,1
adótörvények,1
adóval,1
adóügyekkel,2
aerobic,1
aerobikhétvége,1
afrika,1
aga,1
agglomeráció,1
aggályok,1
aggályát,1
aggódás,1
agitátor,1
agnesk,2
agresszió,1
agrárfordulóit,1
agrárrendtartás,1
agrártudományok,1
agrártörvény,1
agrárvállalkozók,1
agy,1
agyag,1
agyagféleség,1
agyahígveleje,1
agyhullámmátrixot,1
agyhártyagyulladásokért,1
agyhártyagyulladást,1
agysejtek,1
agyszétzúzás,1
agyuk,1
agyunkat,1
agyvérzést,1
agyába,1
agyában,1
agyérgörcsöt,1
ahoz,1
aitaszt,1
ajtaja,1
ajtajára,1
ajtaját,1
ajtó,4
ajtóban,1
ajándék,3
ajándéka,1
ajándékbolt,1
ajándékok,1
ajándékokon,1
ajándékot,1
ajándékát,1
ajánlatok,1
ajánlatokat,1
ajánlatot,1
ajánlattal,1
ajánlatát,1
ajánlás,3
ajánlások,1
ajánlásokról,1
ajánlására,1
akadályt,2
akadályává,1
akadémia,4
akadémiáján,1
akadémián,1
akarata,1
akaratereje,1
akaratát,1
akció,4
akcióból,1
akciófilmek,1
akciógól,1
akciói,1
akciók,2
akciókkal,1
akciónak,1
akciót,1
akcióval,1
akiraly,1
akkkkor,1
akkord,1
aknagránátok,1
aktivistája,1
aktivitás,1
aktivitással,1
aktivizmus,1
aktualizálása,1
aktuálpolitikát,1
akvizíciók,1
akácfa,1
akácméz,1
ala,1
alabárdosaivá,1
alagút,1
alagútba,1
alak,3
alakban,1
alakitó,1
alakja,1
alakjának,1
alakját,1
alakokat,1
alakot,1
alakulat,1
alakulattal,1
alakulása,1
alakulására,1
alakítása,1
alakításáról,1
alap,3
alapanyagokat,1
alapban,1
alapból,1
alapdíjak,1
alapelvei,1
alapesetben,1
alapesete,1
alapfogalmak,1
alapgondolata,1
alapinfrastruktúra,1
alapiskolába,1
alapja,4
alapjaiban,2
alapján,32
alapját,1
alapkiindulás,1
alapköveit,1
alapkövet,1
alapkövét,1
alapok,1
alapon,3
alaprendelet,1
alapszabálynak,1
alapszakasz,1
alapszolgáltatások,1
alapszámai,1
alaptan,1
alaptörvény,1
alaptőkéjükké,1
alapul,1
alapvetése,1
alapvetésekhez,1
alapváltozatot,1
alapítvány,4
alapítványok,1
alapítói,1
alapítója,1
alapítóknak,1
alattvalók,1
albekezdése,1
albekezdésének,1
albekezdését,1
albizottságoknak,1
album,1
albumának,1
albumával,1
albánok,1
aldana,1
aldzsazíra,1
alelnök,1
alelnöke,3
alezredes,1
alfa,2
algalapba,1
alhadnagyként,1
aliraki,1
alizka,1
aljában,1
alján,1
aljára,3
alkalmasságát,1
alkalmatlansága,1
alkalmazkodása,1
alkalmazottak,1
alkalmazottakat,1
alkalmazása,2
alkalmazásakor,1
alkalmazásboltokban,1
alkalmazáshoz,1
alkalmazásuk,1
alkalmazásának,2
alkalmából,1
alkalmával,3
alkalom,5
alkalommal,11
